id,media_url,public_name,card_description,slug,is_marketplace,price,original_price,deal_review_count,deal_review_rating,sub_category,category,group
190416,https://appsumo2-cdn.appsumo.com/media/deals/images/as-web-Activepieces-_16_9.png,Activepieces,Automate business processes and content writing with this no-code alternative to Zapier,activepieces,False,59,300,25,4.92,development-tools,development-it,software
187238,https://appsumo2-cdn.appsumo.com/media/deals/images/as-web-Divhunt_-_16_9.png,Divhunt,Effortlessly build fast and limitless websitesâ€”no coding required,divhunt,False,59,180,102,4.93,web-builders,build-it-yourself,software
166388,https://appsumo2-cdn.appsumo.com/media/deals/images/as-web-Neuronwriter_-_16_9_-_1.png,NeuronWriter,Use semantic recommendations to boost your SEO and plan high-ranking content,neuronwriter,False,69,750,603,4.94,content-marketing,marketing-sales,software
161791,https://appsumo2-cdn.appsumo.com/media/selfsubmissions/images/3d87ab8f-535f-4b9a-a635-721ebe869ffe.png,Reoon Email Verifier,"The most accurate email validation service that cleans invalid, temporary & unsafe email addresses.",reoon-email-verifier,True,79,418.5,370,4.96,email-marketing,marketing-sales,software
14066,https://appsumo2-cdn.appsumo.com/media/selfsubmissions/images/c7fa5d07-e209-4424-8572-6e11a9b30b95.png,SiteGuru,Improve and monitor your website's rankings with an actionable SEO todo-list,marketplace-siteguru,True,69,599,400,4.97,seo,marketing-sales,software
49611,https://appsumo2-cdn.appsumo.com/media/selfsubmissions/images/045ccf27-a2ce-4dd6-8011-e4797d7ce934.png,QApop,Grow with Quora & QApop; Quora has the lowest CAC for B2B SaaS startups among all social platforms,qapop,False,39,180,23,4.96,content-marketing,marketing-sales,software
1900,https://appsumo2-cdn.appsumo.com/media/deals/images/as-web-Switchy_1.jpg,Switchy,Boost engagement and conversions with custom retargeting links,switchy,False,39,2400,222,4.95,lead-generation,marketing-sales,software
2744,https://appsumo2-cdn.appsumo.com/media/deals/images/1_KDi90om.png,TYKR,TYKR helps you manage your own investments and beat the market so you can retire early,tykr,True,119,900,150,4.91,investing,finance,software
37604,https://appsumo2-cdn.appsumo.com/media/selfsubmissions/images/248a05e3-5e5b-4aff-bdb3-0f11c2a7ecc6.jpeg,Eurekaa.io,"Ideate, validate, and create a course, book, or how-to content... in record time",eurekaa,True,139,399,55,4.96,course-builders,build-it-yourself,software
166871,https://appsumo2-cdn.appsumo.com/media/selfsubmissions/images/13aa2ff0-04b3-4b91-b141-6c0583d402ad.png,Vivomeetings,"Upgrade your meetings -- Recordings, real-time transcription, webinar mode and more",vivomeetings,True,72,90,48,4.94,webinars-streaming,marketing-sales,software
30837,https://appsumo2-cdn.appsumo.com/media/selfsubmissions/images/97ff055f-a0b9-4e58-9539-9e8f83626304.png,Fouita Smart Widgets,"Smart widgets that generate leads, engage visitors, and drive sales on autopilot",fouita-smart-widgets,True,89,1317,33,4.97,lead-generation,marketing-sales,software
6627,https://appsumo2-cdn.appsumo.com/media/deals/images/as-web-WP_Reset_xl08uy1.png,WP Reset Team Plan,"Reset, recover, and repair your WordPress site in no time",wp-reset,False,49,158,1303,4.93,cloud-services-hosting,development-it,software
